GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,com.Employee.API.services,EmployeeService,77,928,24,78,14,229,28,43,4,16
API,com.Employee.API,ApiApplication,5,3,0,0,2,1,1,1,1,1
API,com.Employee.API.response,ResponseDTO,0,17,0,0,0,8,0,5,0,5
API,com.Employee.API.response,ResponseMessage,0,16,0,0,0,8,0,4,0,4
API,com.Employee.API.response,ManagerChangeResponseDTO,7,9,0,0,3,4,2,2,2,2
API,com.Employee.API.response,EmployeeResponseDTO,24,49,0,0,8,23,8,13,8,13
API,com.Employee.API.response,ResponseDTO.Details,0,31,0,0,0,13,0,9,0,9
API,com.Employee.API.models,DepartmentModel,0,24,0,0,0,10,0,7,0,7
API,com.Employee.API.models,ManagerModel,0,24,0,0,0,10,0,7,0,7
API,com.Employee.API.models,ManagerEmployeeModel,0,31,0,0,0,13,0,9,0,9
API,com.Employee.API.models,EmployeeModel,24,80,0,0,1,34,1,23,1,23
API,com.Employee.API.controllers,EmployeeController,0,114,0,2,0,27,0,9,0,8
API,com.Employee.API.helpers,EmailValidator,5,16,2,2,2,4,3,2,1,2
API,com.Employee.API.helpers,ManagerChangeRequest,0,17,0,0,0,7,0,5,0,5
